,PIB_nom,PIB_real,PIB_pot,OG,Ingresos_totales,Egresos_totales,Intereses,Beta,CC_Ingresos,G_primario,T_estructural,G_primario_estr,BEP,BE,FI
117,68854.92065,12506.58326,,,29941.08,35229.51,512.17,0.8742368844206614,,34717.340000000004,,34717.340000000004,,,
118,71441.65795,12490.12603,,,26269.67,33816.99,814.37,0.8742368844206614,,33002.619999999995,,33002.619999999995,,,
119,73370.01348,12944.00541,,,25227.21,34255.99,617.8399999999999,0.8742368844206614,,33638.15,,33638.15,,,
120,67834.19045,11339.23281,,,23225.19,23518.71,1004.26,0.8742368844206614,,22514.45,,22514.45,,,
121,50081.40869,9412.415956,,,14046.59,24313.07,604.51,0.8742368844206614,,23708.56,,23708.56,,,
122,62371.59499,11132.97277,,,22580.75,26583.16,897.47,0.8742368844206614,,25685.69,,25685.69,,,
123,72825.02656,13068.29715,,,25639.07,43152.58,410.98,0.8742368844206614,,42741.6,,42741.6,,,
124,68246.96779,11269.7526,,,22250.33,24441.09,884.23,0.8742368844206614,,23556.86,,23556.86,,,
125,65071.86612,11589.01208,,,27157.96,28960.98,602.84,0.8742368844206614,,28358.14,,28358.14,,,
126,68070.2497,11706.58639,,,24055.1,32035.32,1065.15,0.8742368844206614,,30970.17,,30970.17,,,
127,77817.14821,13134.80805,,,26265.23,40236.9,808.63,0.8742368844206614,,39428.270000000004,,39428.270000000004,,,
128,77220.98691,11806.25007,,,27622.77,25847.0,1379.02,0.8742368844206614,,24467.98,,24467.98,,,
129,70647.46776,12119.35996,,,31938.6,32018.07,780.4,0.8742368844206614,,31237.67,,31237.67,,,
130,73531.57347,12185.45211,,,28832.63,36214.69,1490.0,0.8742368844206614,,34724.69,,34724.69,,,
131,82697.20656,13309.01225,,,29333.53,45221.85,943.27,0.8742368844206614,,44278.58,,44278.58,,,
132,79321.5842,12088.31179,,,26414.46,25729.11,1824.04,0.8742368844206614,,23905.07,,23905.07,,,
133,71329.88633,12364.86588,,,30192.72,34371.14,1255.75,0.8742368844206614,,33115.39,,33115.39,,,
134,74215.11118,12501.26623,,,26647.26,38882.99,2020.42,0.8742368844206614,,36862.57,,36862.57,,,
135,87019.01853,13988.74,,,26832.73,45250.91,1534.96,0.8742368844206614,,43715.950000000004,,43715.950000000004,,,
136,79821.67893,12247.06789,,,26807.86,30156.75,2374.84,0.8742368844206614,,27781.91,,27781.91,,,
137,74966.78319,12814.57439,,,29820.98,36770.65,1612.1799999999998,0.8742368844206614,,35158.47,,35158.47,,,
138,78526.12975,12628.30771,,,27927.64,37046.38,1498.26,0.8742368844206614,,35548.119999999995,,35548.119999999995,,,
139,88878.83354,13624.71344,,,31385.85,44897.84,840.16,0.8742368844206614,,44057.67999999999,,44057.67999999999,,,
140,,,,,,,0.0,0.8742368844206614,,,,,,,
141,,,,,,,0.0,0.8742368844206614,,,,,,,
142,,,,,,,0.0,0.8742368844206614,,,,,,,
143,,,,,,,0.0,0.8742368844206614,,,,,,,
144,,,,,,,0.0,0.8742368844206614,,,,,,,
145,,,,,,,0.0,0.8742368844206614,,,,,,,
146,,,,,,,0.0,0.8742368844206614,,,,,,,
147,,,,,,,0.0,0.8742368844206614,,,,,,,
148,,,,,,,0.0,0.8742368844206614,,,,,,,
149,,,,,,,0.0,0.8742368844206614,,,,,,,
150,,,,,,,0.0,0.8742368844206614,,,,,,,
151,,,,,,,0.0,0.8742368844206614,,,,,,,
152,,,,,,,0.0,0.8742368844206614,,,,,,,
153,,,,,,,0.0,0.8742368844206614,,,,,,,
154,,,,,,,0.0,0.8742368844206614,,,,,,,
155,,,,,,,0.0,0.8742368844206614,,,,,,,
156,,,,,,,0.0,0.8742368844206614,,,,,,,
157,,,,,,,0.0,0.8742368844206614,,,,,,,
158,,,,,,,0.0,0.8742368844206614,,,,,,,
159,,,,,,,0.0,0.8742368844206614,,,,,,,
160,,,,,,,0.0,0.8742368844206614,,,,,,,
161,,,,,,,0.0,0.8742368844206614,,,,,,,
162,,,,,,,0.0,0.8742368844206614,,,,,,,
163,,,,,,,0.0,0.8742368844206614,,,,,,,
164,,,,,,,0.0,0.8742368844206614,,,,,,,
165,,,,,,,0.0,0.8742368844206614,,,,,,,
166,,,,,,,0.0,0.8742368844206614,,,,,,,
167,,,,,,,0.0,0.8742368844206614,,,,,,,
168,,,,,,,0.0,0.8742368844206614,,,,,,,
169,,,,,,,0.0,0.8742368844206614,,,,,,,
170,,,,,,,0.0,0.8742368844206614,,,,,,,
171,,,,,,,0.0,0.8742368844206614,,,,,,,
172,,,,,,,0.0,0.8742368844206614,,,,,,,
173,,,,,,,0.0,0.8742368844206614,,,,,,,
174,,,,,,,0.0,0.8742368844206614,,,,,,,
175,,,,,,,0.0,0.8742368844206614,,,,,,,
176,,,,,,,0.0,0.8742368844206614,,,,,,,
177,,,,,,,0.0,0.8742368844206614,,,,,,,
178,,,,,,,0.0,0.8742368844206614,,,,,,,
179,,,,,,,0.0,0.8742368844206614,,,,,,,
180,,,,,,,0.0,0.8742368844206614,,,,,,,
181,,,,,,,0.0,0.8742368844206614,,,,,,,
182,,,,,,,0.0,0.8742368844206614,,,,,,,
183,,,,,,,0.0,0.8742368844206614,,,,,,,
184,,,,,,,0.0,0.8742368844206614,,,,,,,
185,,,,,,,0.0,0.8742368844206614,,,,,,,
186,,,,,,,0.0,0.8742368844206614,,,,,,,
187,,,,,,,0.0,0.8742368844206614,,,,,,,
188,,,,,,,0.0,0.8742368844206614,,,,,,,
189,,,,,,,0.0,0.8742368844206614,,,,,,,
190,,,,,,,0.0,0.8742368844206614,,,,,,,
191,,,,,,,0.0,0.8742368844206614,,,,,,,
192,,,,,,,0.0,0.8742368844206614,,,,,,,
193,,,,,,,0.0,0.8742368844206614,,,,,,,
194,,,,,,,0.0,0.8742368844206614,,,,,,,
195,,,,,,,0.0,0.8742368844206614,,,,,,,
196,,,,,,,0.0,0.8742368844206614,,,,,,,
197,,,,,,,0.0,0.8742368844206614,,,,,,,
198,,,,,,,0.0,0.8742368844206614,,,,,,,
199,,,,,,,0.0,0.8742368844206614,,,,,,,
200,,,,,,,0.0,0.8742368844206614,,,,,,,
201,,,,,,,0.0,0.8742368844206614,,,,,,,
202,,,,,,,0.0,0.8742368844206614,,,,,,,
203,,,,,,,0.0,0.8742368844206614,,,,,,,
204,,,,,,,0.0,0.8742368844206614,,,,,,,
205,,,,,,,0.0,0.8742368844206614,,,,,,,
206,,,,,,,0.0,0.8742368844206614,,,,,,,
207,,,,,,,0.0,0.8742368844206614,,,,,,,
208,,,,,,,0.0,0.8742368844206614,,,,,,,
209,,,,,,,0.0,0.8742368844206614,,,,,,,
210,,,,,,,0.0,0.8742368844206614,,,,,,,
211,,,,,,,0.0,0.8742368844206614,,,,,,,
212,,,,,,,0.0,0.8742368844206614,,,,,,,
213,,,,,,,0.0,0.8742368844206614,,,,,,,
214,,,,,,,0.0,0.8742368844206614,,,,,,,
215,,,,,,,0.0,0.8742368844206614,,,,,,,
216,,,,,,,0.0,0.8742368844206614,,,,,,,
217,,,,,,,0.0,0.8742368844206614,,,,,,,
218,,,,,,,0.0,0.8742368844206614,,,,,,,
219,,,,,,,0.0,0.8742368844206614,,,,,,,
220,,,,,,,0.0,0.8742368844206614,,,,,,,
221,,,,,,,0.0,0.8742368844206614,,,,,,,
222,,,,,,,0.0,0.8742368844206614,,,,,,,
223,,,,,,,0.0,0.8742368844206614,,,,,,,
224,,,,,,,0.0,0.8742368844206614,,,,,,,
225,,,,,,,0.0,0.8742368844206614,,,,,,,
226,,,,,,,0.0,0.8742368844206614,,,,,,,
227,,,,,,,0.0,0.8742368844206614,,,,,,,
228,,,,,,,0.0,0.8742368844206614,,,,,,,
229,,,,,,,0.0,0.8742368844206614,,,,,,,
230,,,,,,,0.0,0.8742368844206614,,,,,,,
231,,,,,,,0.0,0.8742368844206614,,,,,,,
232,,,,,,,0.0,0.8742368844206614,,,,,,,
233,,,,,,,0.0,0.8742368844206614,,,,,,,
234,,,,,,,0.0,0.8742368844206614,,,,,,,
235,,,,,,,0.0,0.8742368844206614,,,,,,,
236,,,,,,,0.0,0.8742368844206614,,,,,,,
237,,,,,,,0.0,0.8742368844206614,,,,,,,
238,,,,,,,0.0,0.8742368844206614,,,,,,,
239,,,,,,,0.0,0.8742368844206614,,,,,,,
240,,,,,,,0.0,0.8742368844206614,,,,,,,
241,,,,,,,0.0,0.8742368844206614,,,,,,,
242,,,,,,,0.0,0.8742368844206614,,,,,,,
243,,,,,,,0.0,0.8742368844206614,,,,,,,
244,,,,,,,0.0,0.8742368844206614,,,,,,,
245,,,,,,,0.0,0.8742368844206614,,,,,,,
246,,,,,,,0.0,0.8742368844206614,,,,,,,
247,,,,,,,0.0,0.8742368844206614,,,,,,,
248,,,,,,,0.0,0.8742368844206614,,,,,,,
249,,,,,,,0.0,0.8742368844206614,,,,,,,
250,,,,,,,0.0,0.8742368844206614,,,,,,,
251,,,,,,,0.0,0.8742368844206614,,,,,,,
252,,,,,,,0.0,0.8742368844206614,,,,,,,
253,,,,,,,0.0,0.8742368844206614,,,,,,,
254,,,,,,,0.0,0.8742368844206614,,,,,,,
255,,,,,,,0.0,0.8742368844206614,,,,,,,
256,,,,,,,0.0,0.8742368844206614,,,,,,,
257,,,,,,,0.0,0.8742368844206614,,,,,,,
258,,,,,,,0.0,0.8742368844206614,,,,,,,
259,,,,,,,0.0,0.8742368844206614,,,,,,,
260,,,,,,,0.0,0.8742368844206614,,,,,,,
261,,,,,,,0.0,0.8742368844206614,,,,,,,
262,,,,,,,0.0,0.8742368844206614,,,,,,,
263,,,,,,,0.0,0.8742368844206614,,,,,,,
264,,,,,,,0.0,0.8742368844206614,,,,,,,
265,,,,,,,0.0,0.8742368844206614,,,,,,,
266,,,,,,,0.0,0.8742368844206614,,,,,,,
267,,,,,,,0.0,0.8742368844206614,,,,,,,
268,,,,,,,0.0,0.8742368844206614,,,,,,,
269,,,,,,,0.0,0.8742368844206614,,,,,,,
270,,,,,,,0.0,0.8742368844206614,,,,,,,
271,,,,,,,0.0,0.8742368844206614,,,,,,,
272,,,,,,,0.0,0.8742368844206614,,,,,,,
273,,,,,,,0.0,0.8742368844206614,,,,,,,
274,,,,,,,0.0,0.8742368844206614,,,,,,,
275,,,,,,,0.0,0.8742368844206614,,,,,,,
276,,,,,,,0.0,0.8742368844206614,,,,,,,
277,,,,,,,0.0,0.8742368844206614,,,,,,,
278,,,,,,,0.0,0.8742368844206614,,,,,,,
279,,,,,,,0.0,0.8742368844206614,,,,,,,
280,,,,,,,0.0,0.8742368844206614,,,,,,,
281,,,,,,,0.0,0.8742368844206614,,,,,,,
282,,,,,,,0.0,0.8742368844206614,,,,,,,
283,,,,,,,0.0,0.8742368844206614,,,,,,,
284,,,,,,,0.0,0.8742368844206614,,,,,,,
285,,,,,,,0.0,0.8742368844206614,,,,,,,
286,,,,,,,0.0,0.8742368844206614,,,,,,,
287,,,,,,,0.0,0.8742368844206614,,,,,,,
288,,,,,,,0.0,0.8742368844206614,,,,,,,
289,,,,,,,0.0,0.8742368844206614,,,,,,,
290,,,,,,,0.0,0.8742368844206614,,,,,,,
291,,,,,,,0.0,0.8742368844206614,,,,,,,
292,,,,,,,0.0,0.8742368844206614,,,,,,,
293,,,,,,,0.0,0.8742368844206614,,,,,,,
294,,,,,,,0.0,0.8742368844206614,,,,,,,
295,,,,,,,0.0,0.8742368844206614,,,,,,,
296,,,,,,,0.0,0.8742368844206614,,,,,,,
297,,,,,,,0.0,0.8742368844206614,,,,,,,
298,,,,,,,0.0,0.8742368844206614,,,,,,,
299,,,,,,,0.0,0.8742368844206614,,,,,,,
300,,,,,,,0.0,0.8742368844206614,,,,,,,
301,,,,,,,0.0,0.8742368844206614,,,,,,,
302,,,,,,,0.0,0.8742368844206614,,,,,,,
303,,,,,,,0.0,0.8742368844206614,,,,,,,
304,,,,,,,0.0,0.8742368844206614,,,,,,,
305,,,,,,,0.0,0.8742368844206614,,,,,,,
306,,,,,,,0.0,0.8742368844206614,,,,,,,
307,,,,,,,0.0,0.8742368844206614,,,,,,,
308,,,,,,,0.0,0.8742368844206614,,,,,,,
309,,,,,,,0.0,0.8742368844206614,,,,,,,
310,,,,,,,0.0,0.8742368844206614,,,,,,,
311,,,,,,,0.0,0.8742368844206614,,,,,,,
312,,,,,,,0.0,0.8742368844206614,,,,,,,
313,,,,,,,0.0,0.8742368844206614,,,,,,,
314,,,,,,,0.0,0.8742368844206614,,,,,,,
315,,,,,,,0.0,0.8742368844206614,,,,,,,
316,,,,,,,0.0,0.8742368844206614,,,,,,,
317,,,,,,,0.0,0.8742368844206614,,,,,,,
318,,,,,,,0.0,0.8742368844206614,,,,,,,
319,,,,,,,0.0,0.8742368844206614,,,,,,,
320,,,,,,,0.0,0.8742368844206614,,,,,,,
321,,,,,,,0.0,0.8742368844206614,,,,,,,
322,,,,,,,0.0,0.8742368844206614,,,,,,,
323,,,,,,,0.0,0.8742368844206614,,,,,,,
324,,,,,,,0.0,0.8742368844206614,,,,,,,
325,,,,,,,0.0,0.8742368844206614,,,,,,,
326,,,,,,,0.0,0.8742368844206614,,,,,,,
327,,,,,,,0.0,0.8742368844206614,,,,,,,
328,,,,,,,0.0,0.8742368844206614,,,,,,,
329,,,,,,,0.0,0.8742368844206614,,,,,,,
330,,,,,,,0.0,0.8742368844206614,,,,,,,
331,,,,,,,0.0,0.8742368844206614,,,,,,,
332,,,,,,,0.0,0.8742368844206614,,,,,,,
333,,,,,,,0.0,0.8742368844206614,,,,,,,
334,,,,,,,0.0,0.8742368844206614,,,,,,,
335,,,,,,,0.0,0.8742368844206614,,,,,,,
336,,,,,,,0.0,0.8742368844206614,,,,,,,
337,,,,,,,0.0,0.8742368844206614,,,,,,,
338,,,,,,,0.0,0.8742368844206614,,,,,,,
339,,,,,,,0.0,0.8742368844206614,,,,,,,
340,,,,,,,0.0,0.8742368844206614,,,,,,,
341,,,,,,,0.0,0.8742368844206614,,,,,,,
342,,,,,,,0.0,0.8742368844206614,,,,,,,
343,,,,,,,0.0,0.8742368844206614,,,,,,,
